Market,Commodity,Classification,Grade,Sex,Wholesale,Retail,Supply Volume,County,Date
Kutus,Pumpkin Leaves,-,-,-,40.00/Kg,50.00/Kg,,Kirinyaga,2026-01-19
Kutus,Black nightshade (Managu/ Osuga),-,-,-,30.00/Kg,40.00/Kg,,Kirinyaga,2026-01-19
Kutus,Cowpea leaves (Kunde),-,-,-,40.00/Kg,50.00/Kg,,Kirinyaga,2026-01-19
Kutus,Amaranthus (Terere),-,-,-,30.00/Kg,40.00/Kg,,Kirinyaga,2026-01-19
Kutus,Banana (Cooking),-,-,-,17.00/Kg,20.00/Kg,,Kirinyaga,2026-01-19
Kutus,Banana (Plantain),-,-,-,17.00/Kg,20.00/Kg,,Kirinyaga,2026-01-19
Kutus,Butternuts,-,-,-,30.00/Kg,50.00/Kg,600.0,Kirinyaga,2026-01-19
Kutus,Cabbages,-,-,-,35.00/Kg,45.00/Kg,,Kirinyaga,2026-01-19
Kutus,Capsicums,-,-,-,60.00/Kg,80.00/Kg,540.0,Kirinyaga,2026-01-19
Kutus,Carrots,-,-,-,60.00/Kg,80.00/Kg,3000.0,Kirinyaga,2026-01-19
Kutus,Chillies,-,-,-,120.00/Kg,150.00/Kg,60.0,Kirinyaga,2026-01-19
Kutus,Coriander (Dhania),-,-,-,60.00/Kg,120.00/Kg,100.0,Kirinyaga,2026-01-19
Kutus,Courgette,-,-,-,60.00/Kg,80.00/Kg,500.0,Kirinyaga,2026-01-19
Kutus,Cucumber,-,-,-,70.00/Kg,90.00/Kg,250.0,Kirinyaga,2026-01-19
Kutus,Dry Onions,-,-,-,75.00/Kg,90.00/Kg,,Kirinyaga,2026-01-19
Kutus,Egg plant (Brinjals),-,-,-,45.00/Kg,50.00/Kg,500.0,Kirinyaga,2026-01-19
Kutus,Fresh Peas,On pods,-,-,80.00/Kg,100.00/Kg,3000.0,Kirinyaga,2026-01-19
Kutus,Garlic,-,-,-,380.00/Kg,450.00/Kg,320.0,Kirinyaga,2026-01-19
Kutus,Ginger,-,-,-,200.00/Kg,250.00/Kg,250.0,Kirinyaga,2026-01-19
Kutus,Green Maize,-,-,-,40.00/Kg,50.00/Kg,2500.0,Kirinyaga,2026-01-19
Kutus,Kales/Sukuma Wiki,-,-,-,20.00/Kg,30.00/Kg,550.0,Kirinyaga,2026-01-19
Kutus,Pumpkin,-,-,-,25.00/Kg,35.00/Kg,650.0,Kirinyaga,2026-01-19
Kutus,Spinach,-,-,-,25.00/Kg,35.00/Kg,600.0,Kirinyaga,2026-01-19
Kutus,Spring Onions,-,-,-,50.00/Kg,80.00/Kg,800.0,Kirinyaga,2026-01-19
Chebunyo,Tomatoes,-,-,-,75.00/Kg,100.00/Kg,16000.0,Bomet,2026-01-19
Chebunyo,Dry Onions,-,-,-,65.00/Kg,90.00/Kg,2400.0,Bomet,2026-01-19
Chebunyo,Cabbages,-,-,-,10.00/Kg,20.00/Kg,15000.0,Bomet,2026-01-19
Chebunyo,Oranges,-,-,-,61.82/Kg,100.00/Kg,7000.0,Bomet,2026-01-19
Chebunyo,Water Melon,-,-,-,80.00/Kg,120.00/Kg,4000.0,Bomet,2026-01-19
Chebunyo,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,18000.0,Bomet,2026-01-19
Kutus,Tomatoes,-,-,-,12.86/Kg,17.14/Kg,10000.0,Kirinyaga,2026-01-19
Chebunyo,Chicken,Improved Kienyeji,-,Female,600.00/Head,-,10000.0,Bomet,2026-01-19
Chebunyo,Chicken,Improved Kienyeji,-,Male,900.00/Head,-,10000.0,Bomet,2026-01-19
Chebunyo,Goat,Dairy Goats,Grade 3,Male,7500.00/Head,-,500.0,Bomet,2026-01-19
Chebunyo,Goat,Dairy Goats,Grade 3,Male,7500.00/Head,-,500.0,Bomet,2026-01-19
Chebunyo,Sheep,Dorper,Grade 3,Female,6000.00/Head,-,600.0,Bomet,2026-01-19
Chebunyo,Sheep,Dorper,Grade 3,Male,8000.00/Head,-,500.0,Bomet,2026-01-19
Butere Livestock Market,Mangoes,Improved,-,-,22.50/Kg,70.00/Kg,3200.0,Kakamega,2026-01-19
Butere Livestock Market,Dry Onions,-,-,-,80.00/Kg,90.91/Kg,1500.0,Kakamega,2026-01-19
Butere Livestock Market,Tomatoes,-,-,-,53.33/Kg,80.00/Kg,3000.0,Kakamega,2026-01-19
Butere Livestock Market,Cabbages,-,-,-,29.17/Kg,29.17/Kg,5250.0,Kakamega,2026-01-19
Butere Livestock Market,White Irish Potatoes,-,-,-,53.85/Kg,55.56/Kg,6000.0,Kakamega,2026-01-19
Butere Livestock Market,Sweet potatoes,-,-,-,32.00/Kg,50.00/Kg,350.0,Kakamega,2026-01-19
Kerugoya,White Irish Potatoes,-,-,-,35.00/Kg,70.00/Kg,2300.0,Kirinyaga,2026-01-19
Kerugoya,Arrow Root,-,-,-,50.00/Kg,100.00/Kg,180.0,Kirinyaga,2026-01-19
Butere Livestock Market,Rice,IRR,-,-,108.00/Kg,152.17/Kg,2000.0,Kakamega,2026-01-19
Kerugoya,Water Melon,-,-,-,25.00/Kg,40.00/Kg,300.0,Kirinyaga,2026-01-19
Kerugoya,Tree tomato,-,-,-,120.00/Kg,220.00/Kg,250.0,Kirinyaga,2026-01-19
Kerugoya,Thorn melon,-,-,-,25.00/Kg,60.00/Kg,150.0,Kirinyaga,2026-01-19
Kerugoya,Passion Fruits,-,-,-,180.00/Kg,250.00/Kg,300.0,Kirinyaga,2026-01-19
Kerugoya,Oranges,-,-,-,60.00/Kg,100.00/Kg,300.0,Kirinyaga,2026-01-19
Butere Livestock Market,Dry Maize,White Maize,-,-,43.33/Kg,50.00/Kg,10350.0,Kakamega,2026-01-19
Kerugoya,Mangoes,Improved,-,-,60.00/Kg,120.00/Kg,350.0,Kirinyaga,2026-01-19
Kerugoya,Lemons,-,-,-,50.00/Kg,100.00/Kg,180.0,Kirinyaga,2026-01-19
